Title,Price,Views,Watched,Link
2023 MAXXIS Aggressor EXO TR 29 x 2.3 - NEW,55,128,2,https://www.pinkbike.com/buysell/3538522/
2023 MAXXIS Minion DHRII EXO TR  29 x 2.4WT - NEW,55,162,5,https://www.pinkbike.com/buysell/3538508/
2023 YETI Custom WTB Silverado Saddle 142 - NEW,65,264,4,https://www.pinkbike.com/buysell/3535068/
New RNC BMX Titanium Cranks 150mm 22mm Bolt Drive,340,110,1,https://www.pinkbike.com/buysell/3530572/
"New Kink Crosscut 21.25"" BMX frame",285,120,0,https://www.pinkbike.com/buysell/3533600/
SRAM XX1 Copper Chain,50,15,1,https://www.pinkbike.com/buysell/3569654/
2019 Santa Cruz Chameleon,2000,148,1,https://www.pinkbike.com/buysell/3568241/
2019 Specialzied Stumpjumper Pro *upgraded*,3800,853,16,https://www.pinkbike.com/buysell/3457608/
2021 Specialized Enduro S4 GX AXS *upgrades*,4300,1250,4,https://www.pinkbike.com/buysell/3464991/
2018 Fox Transfer Factory Performance Dropper Seat Post,140,8,0,https://www.pinkbike.com/buysell/3569653/
"2023 3D Printed Wheel Hangers, Garmin Storage, Etc",10,209,1,https://www.pinkbike.com/buysell/3532282/
2023 Rockshox Super Deluxe Ultimate DH Coil Trunnion,450,256,1,https://www.pinkbike.com/buysell/3510334/
2016 Surly Pugsley (small),700,50,1,https://www.pinkbike.com/buysell/3559453/
Power2max Power meter!,400,14,0,https://www.pinkbike.com/buysell/3569651/
2022 Specialized Epic HT Hardtail Expert,3500,531,10,https://www.pinkbike.com/buysell/3553694/
2020 Suntour NCX Gravel Bike Fork 50mm - FREE SHIPPING,79,218,1,https://www.pinkbike.com/buysell/3490575/
Maxxis Minion DHR-II  2.4 WT EXO TR,50,337,3,https://www.pinkbike.com/buysell/3469280/
Rockshox Reverb Stealth,219,71,0,https://www.pinkbike.com/buysell/3545930/
2022 New and Used Transition Spires,4199,4784,17,https://www.pinkbike.com/buysell/3242070/
"2022 Transition Sentinel Alloy NX, large",3600,821,7,https://www.pinkbike.com/buysell/3434865/
"2021 Intense Tazer Pro, XL",6499,1444,4,https://www.pinkbike.com/buysell/3242103/
2020 Santa Cruz Bronson,4999,1118,5,https://www.pinkbike.com/buysell/3407757/
"2021 Intense Primer 29, medium carbon expert",3499,446,4,https://www.pinkbike.com/buysell/3440641/
"2022 Intense Tazer, Small, Pro, black",5999,62,0,https://www.pinkbike.com/buysell/3547730/
2022 Transition Sentinel Carbon X01 (X-Large) Ti Grey,6299,246,2,https://www.pinkbike.com/buysell/3509635/
2022 Santa Cruz Nomad V5 Medium Oxblood CC RSV Custom,5995,90,2,https://www.pinkbike.com/buysell/3566378/
2022 Transition Sentinel Carbon GX (M) Loam gold,5039,234,4,https://www.pinkbike.com/buysell/3509622/
"2022 Transition Sentinel Alloy NX , small",3799,357,2,https://www.pinkbike.com/buysell/3506711/
2022 Scor 4060 ST MX - LIKE NEW,3800,113,2,https://www.pinkbike.com/buysell/3566599/
"2022 Transition Scout, XL Carbon, blue",4999,37,0,https://www.pinkbike.com/buysell/3555844/
"2022 Transition Scout, Medium, X01, olive green",5999,38,0,https://www.pinkbike.com/buysell/3555851/
2022 Transition Sentinel Carbon X01 (M) Ti Grey,5999,245,2,https://www.pinkbike.com/buysell/3509633/
"2021 Transition, Patrol, NX, alloy, medium",4199,2951,14,https://www.pinkbike.com/buysell/3242062/
2021 Transition Spire Framesets Aluminum/Carbon,2399,2709,6,https://www.pinkbike.com/buysell/3276362/
2021 Marin headlands gravel bike,1800,191,0,https://www.pinkbike.com/buysell/3508399/
"2022 Transition Sentinel Carbon GX, medium",5039,432,5,https://www.pinkbike.com/buysell/3506615/
2022 Transition Spire NX Alloy large,3799,875,11,https://www.pinkbike.com/buysell/3444720/
"2022 Transition Sentinel carbon Ti Grey, XL, X01 build",5999,34,0,https://www.pinkbike.com/buysell/3559457/
"2022 Transition Sentinel carbon Frameset, XL, Ti Grey",3199,29,0,https://www.pinkbike.com/buysell/3559933/
"2022 Transition Sentinel Alloy, Medium, blue",5199,24,0,https://www.pinkbike.com/buysell/3559943/
2017 Specialized Enduro,2100,48,1,https://www.pinkbike.com/buysell/3561227/
2022 Transition Sentinel Carbon GX (L) Loam Gold,5399,251,4,https://www.pinkbike.com/buysell/3509593/
"2022 Transition Sentinel Carbon X01, medium, Ti Grey",6499,216,1,https://www.pinkbike.com/buysell/3509629/
"2020 Transition carbon sentinel, Medium, Pinot Noir color",2990,999,15,https://www.pinkbike.com/buysell/3444377/
2022 Transition Sentinel Carbon X01 (L) Loam Gold,6499,274,2,https://www.pinkbike.com/buysell/3509630/
"2022 Transition scout carbon, X01, medium blue",5999,233,2,https://www.pinkbike.com/buysell/3511069/
2023 Transition Spire NX,3799,510,4,https://www.pinkbike.com/buysell/3493481/
2022 Transition Spur GX,5999,241,0,https://www.pinkbike.com/buysell/3514344/
2022 Octane One Zircus,2200,272,1,https://www.pinkbike.com/buysell/3535118/
SDG Bel-Air Saddle - CrMo Rail - Army Camo 270mmx140mm,25,123,1,https://www.pinkbike.com/buysell/3548832/
2021 Ibis Ripmo v2,4700,41,0,https://www.pinkbike.com/buysell/3566580/
2022 Marzocchi Z1 Bomber (BRAND NEW),550,167,2,https://www.pinkbike.com/buysell/3545317/
2020 Chromag Rootdown - Size M/L,3400,103,0,https://www.pinkbike.com/buysell/3559870/
2022 Marzocchi Bomber CR (BRAND NEW),200,150,1,https://www.pinkbike.com/buysell/3545334/
2022 Marzocchi Bomber CR Coil (BRAND NEW),200,109,2,https://www.pinkbike.com/buysell/3545353/
Tern Verge P10 (folding bike),1250,51,0,https://www.pinkbike.com/buysell/3559836/
2020 Chromag Stylus (Daydreamer Color),2700,70,0,https://www.pinkbike.com/buysell/3559852/
2022 IBIS Hakka MX Rival 1,3500,22,0,https://www.pinkbike.com/buysell/3569648/
2018 Pivot 5.5 XT - XTR,2500,343,12,https://www.pinkbike.com/buysell/3550609/
2021 Specialized Levo SL Expert,6000,1703,4,https://www.pinkbike.com/buysell/3273108/
"2022 Revel Rascal, size large",4000,427,6,https://www.pinkbike.com/buysell/3528283/
"Fox SLS coil spring 475# x 2.4""/61mm",99,137,4,https://www.pinkbike.com/buysell/3538102/
2022 Deity Ridgeline alloy bar 35x15x780 FREE SHIP,78,221,1,https://www.pinkbike.com/buysell/3528303/
2022 Santa Cruz eCarbon 20mm Riser Bar 800mm uncut Di2,140,230,3,https://www.pinkbike.com/buysell/3528302/
2022 Marzocchi Z2 Bomber 29,400,40,1,https://www.pinkbike.com/buysell/3561874/
2017 Wahoo Kickr V3 Smart Trainer,550,17,0,https://www.pinkbike.com/buysell/3569646/
2019 XCR32 29 Boost Air,100,631,11,https://www.pinkbike.com/buysell/3305395/
"2016 Ibis Mojo - L, With Upgrades",3000,27,1,https://www.pinkbike.com/buysell/3560518/
2021 Ripmo V2 XL,6000,511,5,https://www.pinkbike.com/buysell/3492223/
2022 Specialized Levo Comp S5,7000,139,1,https://www.pinkbike.com/buysell/3541394/
2022 Commencal Meta TR **PRICE DROP**,850,674,14,https://www.pinkbike.com/buysell/3546030/
2022 Fox Factory Float X **PRICE DROP**,400,358,13,https://www.pinkbike.com/buysell/3542946/
2023 RockShox Super Deluxe,475,20,0,https://www.pinkbike.com/buysell/3569645/
Moots MooTour - Travel Gravel Road Bike w/ Couplers,4500,2582,13,https://www.pinkbike.com/buysell/3131042/
Shimano XT 4 Piston,380,341,4,https://www.pinkbike.com/buysell/3502603/
2023 Brand New Fox Float X,300,82,6,https://www.pinkbike.com/buysell/3563619/
2013 EE rim brakes,350,225,4,https://www.pinkbike.com/buysell/3523144/
2022 Pivot Shadowcat Medium Ride SLX,4500,117,5,https://www.pinkbike.com/buysell/3564889/
2021 Banshee Titan,1400,960,11,https://www.pinkbike.com/buysell/3486373/
HT T1 SX Pedals,50,36,1,https://www.pinkbike.com/buysell/3566387/
2020 Marin San Quentin 3,1300,861,3,https://www.pinkbike.com/buysell/3257296/
2019 Shimano Di2 785 Shifters,175,585,9,https://www.pinkbike.com/buysell/3372303/
2022 Fuji Rakan LT 1.5,1500,708,14,https://www.pinkbike.com/buysell/3520292/
2016 Yeti Beti SB5c Medium,2450,202,1,https://www.pinkbike.com/buysell/3493633/
2022 Santa Cruz Nomad,5600,71,1,https://www.pinkbike.com/buysell/3530016/
2021 Banshee Rune V3 XL,4800,188,0,https://www.pinkbike.com/buysell/3553635/
2022 SRAM XX1 X-Sync 2 Eagle Chainring - boost/DM,60,337,4,https://www.pinkbike.com/buysell/3415186/
2019 YT TUES PRO RACE,4000,1326,5,https://www.pinkbike.com/buysell/3457477/
2021 Fox Factory 38�s in perfect condition.,775,97,3,https://www.pinkbike.com/buysell/3564670/
2018 Santa Cruz Highball CC,2800,196,4,https://www.pinkbike.com/buysell/3554380/
2020 Specialized Roubaix Sport,2900,34,0,https://www.pinkbike.com/buysell/3567078/
2022 Santa Cruz Heckler 8.1 CC MX S Build,7200,78,3,https://www.pinkbike.com/buysell/3563991/
2023 Rockshox Reverb AXS 170mm 31.6,500,92,7,https://www.pinkbike.com/buysell/3562277/
2023 Brand new Shimano 105 R7000 Rear Derailleur,49,58,0,https://www.pinkbike.com/buysell/3566355/
2019 Santa Cruz Hightower LT CC,2700,390,5,https://www.pinkbike.com/buysell/3538388/
2015 DVO jade 7.875x2.25 broken shaft,35,25,2,https://www.pinkbike.com/buysell/3565417/
2018 Fox float X2 7.875 x 2.25 kashima,375,23,1,https://www.pinkbike.com/buysell/3565427/
2018 Specialized Demo,1900,203,5,https://www.pinkbike.com/buysell/3544876/
2020 Roval Control Carbon,650,42,0,https://www.pinkbike.com/buysell/3569641/
2021 Used Kona Fire Moutain Medium 2020,400,7,1,https://www.pinkbike.com/buysell/3569639/
2021 S-Works Enduro,5500,1019,3,https://www.pinkbike.com/buysell/3508621/
2022 Fox SLS Spring 550 x 2.9/74mm,100,557,1,https://www.pinkbike.com/buysell/3423251/
2016 Scott Scale 920 CX/Gravel bike,1200,1862,15,https://www.pinkbike.com/buysell/3341966/
2022 Rims and tire wheelset,349,1066,7,https://www.pinkbike.com/buysell/3483891/
2021 Salsa Cassidy Carbon SLX - Size: Medium,3500,100,2,https://www.pinkbike.com/buysell/3560323/
2022 700c wheelset with tires,349,453,1,https://www.pinkbike.com/buysell/3483893/
2022 ALEXRIMS Boondocks 7D,349,388,3,https://www.pinkbike.com/buysell/3483885/
2020 RSD Mayor V4 Titanium Medium Fat Bike Frame,1099,711,3,https://www.pinkbike.com/buysell/3507088/
2022 Ibis Ripmo AF w/ upgrades (like new),4500,294,0,https://www.pinkbike.com/buysell/3516501/
2018 Knolly Delirium Large Full Custom Build,2700,362,3,https://www.pinkbike.com/buysell/3511929/
2016 On One 456 Evo II XL Full Custom Build,850,366,5,https://www.pinkbike.com/buysell/3511939/
2018 Rock Shox Pike RCT3 160mm 650b 27.5 Fork,240,278,8,https://www.pinkbike.com/buysell/3540359/
2021 NEW - Scott Genius 900 Tuned,5200,966,6,https://www.pinkbike.com/buysell/3412000/
2023 Shimano XTR CS-M9101 12 Speed Cassette,300,124,3,https://www.pinkbike.com/buysell/3556709/
2022 Shimano XTR 12 Speed Derailleur and Shifter,250,87,4,https://www.pinkbike.com/buysell/3556707/
2021 RockShox SID Select+ & Twistloc,399,132,3,https://www.pinkbike.com/buysell/3556706/
2021 Fox 36 130mm Air Spring,45,118,0,https://www.pinkbike.com/buysell/3539712/
Maxxis Assegai and pair of DHR2 - 120TPI Exo+,75,62,1,https://www.pinkbike.com/buysell/3560092/
SRAM AXS Reverb Remote Controller - brand new,125,76,0,https://www.pinkbike.com/buysell/3560073/
"2023 Specialized Phenom Comp, 143, Brand new",125,74,2,https://www.pinkbike.com/buysell/3557388/
RRP Pro Guard Mini Bolt On Fender,40,198,0,https://www.pinkbike.com/buysell/3522169/
"2021 Yeti SB140 TURQ T1 27.5"" Med Coil Shock",1600,74,4,https://www.pinkbike.com/buysell/3569636/
"2021 Transition Sentinel GX / Carbon, XL / Need sold!",3400,456,7,https://www.pinkbike.com/buysell/3536046/
2022 Ext Arma 250x75,800,16,0,https://www.pinkbike.com/buysell/3569635/
2023 Fox 34 performance - New Take Off- 29� 120mm,475,374,15,https://www.pinkbike.com/buysell/3548810/
2021 Orbea Oiz H30,2200,641,5,https://www.pinkbike.com/buysell/3491202/
2022 Ohlins TTX1 Air (new),395,236,12,https://www.pinkbike.com/buysell/3557717/
2021 Canyon Torque MTB,1400,42,2,https://www.pinkbike.com/buysell/3568234/
2019 Santa Cruz Megatower XL frame. Good condition,1350,87,7,https://www.pinkbike.com/buysell/3565043/
2022 Fox Float X2 Performance 205x60 trunnion Fully Rebuilt,320,156,0,https://www.pinkbike.com/buysell/3504783/
2017 Commencal DH V3 XL,700,178,4,https://www.pinkbike.com/buysell/3537472/
Giro Aerohead MIPS Adult Road triathlon Helmet,100,107,1,https://www.pinkbike.com/buysell/3513366/
2013 Kona Hei Hei Supreme,750,375,8,https://www.pinkbike.com/buysell/3527741/
2023 ENVE Carbon Fiber Seatpost 30.9 x 400 mm,250,75,1,https://www.pinkbike.com/buysell/3528631/
2021 Transition Sentinel V2,4250,164,3,https://www.pinkbike.com/buysell/3562601/
2022 Manitou dorado expert,1000,20,0,https://www.pinkbike.com/buysell/3569632/
Turner Burner Medium Full Shimano XTR Rockshox,700,311,1,https://www.pinkbike.com/buysell/3457336/
HED Tomcat 700c Aluminum disc wheelset,250,422,2,https://www.pinkbike.com/buysell/3502604/
"Sram Force 22 carbon crankset - 53/39t, 172.5mm, GXP",180,508,3,https://www.pinkbike.com/buysell/3448192/
Black Sheep Cycling Aero Jersey - women's large,80,680,0,https://www.pinkbike.com/buysell/3331211/
Brand new Pedla ecoLUX cycling jersey - men's small,80,200,0,https://www.pinkbike.com/buysell/3509400/
"Deda Superleggero stem - 130mm, 8 degree rise/drop",60,581,1,https://www.pinkbike.com/buysell/3359241/
2022 Specialized Epic PRO HT,5000,31,0,https://www.pinkbike.com/buysell/3569631/
2021 WTB Scraper i40 27.5 Industry 9 hubs wheelset,625,12,0,https://www.pinkbike.com/buysell/3569630/
2020 SantaCruz Hightower CC Reserve AXS XX1,5000,124,1,https://www.pinkbike.com/buysell/3549172/
2021 Marin Rift Zone 1 27.5,1100,353,6,https://www.pinkbike.com/buysell/3557942/
2022 Large 27.5 Marin San Quentin 3 NIB,1300,105,0,https://www.pinkbike.com/buysell/3558642/
2023 Ultegra Di2 8050 Front and Rear Derailleurs,280,49,1,https://www.pinkbike.com/buysell/3567833/
Panasonic SA-PT750 DVD Home Theater System w/iPod,100,203,0,https://www.pinkbike.com/buysell/3527288/
"POC Women's Essential MTB Shorts, Medium, Light Blue",40,159,2,https://www.pinkbike.com/buysell/3504224/
"Giro Empire ACC Road Shoes, EU 43/US 9.5, Carbon Sole",75,103,0,https://www.pinkbike.com/buysell/3527287/
"NEW POC Ski Cut Suit Bottoms, Large (34""-37"")",75,244,0,https://www.pinkbike.com/buysell/3504197/
"NEW POC Ski Cut Suit Bottoms, X-Large (37""-39"")",75,239,0,https://www.pinkbike.com/buysell/3504199/
"G&S OG Street Wheels, 54.5mm, 98a, Vinatge, RARE",50,405,0,https://www.pinkbike.com/buysell/3504201/
"Panaracer Pacenti Pari-Moto 27.5x1.5 Tires, 650b",30,100,0,https://www.pinkbike.com/buysell/3527137/
"POC Women's Pristine Print Jersey, Medium, Green",30,143,0,https://www.pinkbike.com/buysell/3504219/
"Garmin Fenix 5S Plus Sapphire Edition GPS Watch, 42mm",200,28,0,https://www.pinkbike.com/buysell/3559897/
"2023 Bontrager Arvada Pro Saddle, Carbon, 138mm, Take Off",100,26,0,https://www.pinkbike.com/buysell/3559894/
"2022 '22 Fox Float X Performance, 230 x 60, New Take Off",300,16,1,https://www.pinkbike.com/buysell/3568204/
"Bontrager XXX Carbon Stem, 60mm, 7�, 31.8mm",50,155,1,https://www.pinkbike.com/buysell/3527281/
Club Ride Mens Medium Polartec Short Sleeve Shirt,25,27,0,https://www.pinkbike.com/buysell/3559060/
Troy Lee Womens Medium Mischief MTB Shorts,49,142,1,https://www.pinkbike.com/buysell/3505786/
ROYAL Short Sleeve Jersey Mens XL,15,182,0,https://www.pinkbike.com/buysell/3474997/
Specialized Mens Medium Jersey Apollo NWT,23,892,0,https://www.pinkbike.com/buysell/3165401/
2x Specialized Tubes 700 x 20/28c 48mm Presta,15,251,0,https://www.pinkbike.com/buysell/3388400/
Sombrio Womens XS Riding Shorts,22,291,0,https://www.pinkbike.com/buysell/3382554/
"2020 XL Commencal Meta HT AM Race 29""",850,255,4,https://www.pinkbike.com/buysell/3543067/
Ride Concepts Women�s 8.5 Traverse Clipless Shoes,55,883,0,https://www.pinkbike.com/buysell/3172175/
Novara Mens Large Riding Shorts - No Liner,25,188,1,https://www.pinkbike.com/buysell/3470193/
2020 Trek Remedy 8 Frame + Reverb Dropper / Extra shock,1600,377,7,https://www.pinkbike.com/buysell/3504391/
2020 Specialized Levo SL Carbon Comp Medium,4600,1058,9,https://www.pinkbike.com/buysell/3468777/
"2021 Sworks Turbo Levo SL 29""",4000,181,2,https://www.pinkbike.com/buysell/3561669/
Stan's NoTubes Neo Rear Hub 12x148 6 Bolt 32H,80,30,0,https://www.pinkbike.com/buysell/3567480/
Truvativ Descendant Cranks and Rings,60,106,2,https://www.pinkbike.com/buysell/3555045/
2015 Specialized Fuse Comp,800,1856,5,https://www.pinkbike.com/buysell/2733091/
2020 Transition PBJ,1600,1222,14,https://www.pinkbike.com/buysell/3467250/
2022 Specialized S-Works Turbo Kenevo SL,2500,210,8,https://www.pinkbike.com/buysell/3568236/
2019 CUSTOM Specialized Stumpjumper Expert *PRICE DROP*,3750,650,3,https://www.pinkbike.com/buysell/3437933/
Raceface Agent Softshell Jacket Men's Large Race Face,49,65,1,https://www.pinkbike.com/buysell/3562585/
2020 Specialized Fuse,2300,153,0,https://www.pinkbike.com/buysell/3529745/
2020 Santa Cruz Tallboy V4 Small,1999,539,11,https://www.pinkbike.com/buysell/3520737/
2021 Trek Remedy 9.8 Large,5000,22,0,https://www.pinkbike.com/buysell/3569628/
